time,theta
3.265,0.00408058,-0.00179189
3.27,0.00407162,-0.00178943
3.275,0.00406267,-0.00178697
3.28,0.00405373,-0.00178451
3.285,0.00404481,-0.00178204
3.29,0.0040359,-0.00177958
3.295,0.004027,-0.00177711
3.3,0.00401812,-0.00177464
3.305,0.00400925,-0.00177216
3.31,0.00400038,-0.00176969
3.315,0.00399154,-0.00176721
3.32,0.0039827,-0.00176473
3.325,0.00397388,-0.00176225
3.33,0.00396507,-0.00175977
3.335,0.00395627,-0.00175729
3.34,0.00394748,-0.0017548
3.345,0.00393871,-0.00175232
3.35,0.00392994,-0.00174983
3.355,0.0039212,-0.00174734
3.36,0.00391246,-0.00174485
3.365,0.00390373,-0.00174236
3.37,0.00389502,-0.00173986
3.375,0.00388632,-0.00173737
3.38,0.00387764,-0.00173487
3.385,0.00386896,-0.00173237
3.39,0.0038603,-0.00172987
3.395,0.00385165,-0.00172737
3.4,0.00384301,-0.00172487
3.405,0.00383439,-0.00172237
3.41,0.00382578,-0.00171986
3.415,0.00381718,-0.00171736
3.42,0.00380859,-0.00171485
3.425,0.00380002,-0.00171234
3.43,0.00379146,-0.00170983
3.435,0.00378291,-0.00170732
3.44,0.00377437,-0.00170481
3.445,0.00376585,-0.0017023
3.45,0.00375733,-0.00169979
3.455,0.00374884,-0.00169727
3.46,0.00374035,-0.00169476
3.465,0.00373188,-0.00169224
3.47,0.00372341,-0.00168972
3.475,0.00371497,-0.00168721
3.48,0.00370653,-0.00168469
3.485,0.00369811,-0.00168217
3.49,0.00368969,-0.00167965
3.495,0.0036813,-0.00167712
3.5,0.00367291,-0.0016746
3.505,0.00366454,-0.00167208
3.51,0.00365618,-0.00166956
3.515,0.00364783,-0.00166703
3.52,0.00363949,-0.00166451
3.525,0.00363117,-0.00166198
3.53,0.00362286,-0.00165945
3.535,0.00361457,-0.00165693
3.54,0.00360628,-0.0016544
3.545,0.00359801,-0.00165187
3.55,0.00358975,-0.00164934
3.555,0.0035815,-0.00164681
3.56,0.00357327,-0.00164428
3.565,0.00356505,-0.00164175
3.57,0.00355684,-0.00163922
3.575,0.00354864,-0.00163669
3.58,0.00354046,-0.00163416
3.585,0.00353229,-0.00163163
3.59,0.00352413,-0.00162909
3.595,0.00351598,-0.00162656
3.6,0.00350785,-0.00162403
3.605,0.00349973,-0.0016215
3.61,0.00349162,-0.00161896
3.615,0.00348353,-0.00161643
3.62,0.00347545,-0.00161389
3.625,0.00346738,-0.00161136
3.63,0.00345932,-0.00160883
3.635,0.00345128,-0.00160629
3.64,0.00344324,-0.00160376
